@relation C:\Users\Mayumi\Dropbox\Faculdade\TCC\2014\Implementação\TCC\RGBsemFundo.arff
@attribute media_r real
@attribute media_g real
@attribute media_b real
@attribute media_cinza real
@attribute variancia_r real
@attribute variancia_g real
@attribute variancia_b real
@attribute variancia_cinza real
@attribute desvio_padrao_r real
@attribute desvio_padrao_g real
@attribute desvio_padrao_b real
@attribute desvio_padrao_cinza real
@attribute classes{1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0}
@data
61.0,30.0,26.0,39.0,30326.52955,34995.63191388889,35787.11349166666,32863.33876944445,174.14513932349647,187.07119477324372,189.17482256279948,181.2824833497281,13.0
78.0,26.0,19.0,41.0,25474.148788888888,34152.18907222222,35605.10453055555,30258.92885,159.60623042002115,184.80310893548904,188.69314913519133,173.9509380543836,13.0
79.0,25.0,21.0,42.0,24212.861858333334,32467.14665,33217.25263888889,28384.063847222224,155.6048259480834,180.18642193572745,182.25600851244627,168.47570699427922,13.0
64.0,65.0,19.0,49.0,28809.287219444446,28737.054205555556,36870.72711944445,30652.731661111113,169.73298801189014,169.5200702145783,192.01751774107603,175.0792153886666,14.0
50.0,53.0,16.0,39.0,34930.52223611111,34624.488722222224,42189.19998888889,36689.110875,186.89708996159118,186.07656682726662,205.40009734391288,191.5440181133308,14.0
48.0,40.0,18.0,35.0,36836.840244444444,37824.80298611111,42561.31131388889,38664.042858333334,191.9292584376974,194.48599688952189,206.30392946788214,196.63174427933384,14.0
98.0,35.0,22.0,52.0,20695.848694444445,27893.63518611111,30030.2904,24059.616472222224,143.86051819190854,167.01387722614882,173.29249954917265,155.1116258448161,13.0
61.0,24.0,17.0,34.0,29026.583530555556,35686.769225,37316.69520833333,33005.87575,170.37189771366508,188.90942068885818,193.17529657886726,181.67519299563162,13.0
75.0,17.0,13.0,35.0,25526.349613888888,36080.86868888889,36276.40075833334,30921.598616666666,159.7696767659273,189.94964777247915,190.46364681569378,175.84538269930965,13.0
32.0,28.0,35.0,32.0,32446.874575,33341.68723333333,31801.652055555554,32382.84756111111,180.13016009263967,182.59706249919063,178.33017707487298,179.952348028891,15.0
28.0,11.0,17.0,18.0,34467.29168055556,38942.02916111111,37341.74535833333,37010.98547222222,185.65368749517356,197.33734862187418,193.24012357254725,192.382393872782,15.0
22.0,17.0,21.0,20.0,39470.23525,40858.73267777778,39908.24548055555,40040.410866666665,198.67117367650496,202.13543152495006,199.77048200511393,200.10100166332668,15.0
38.0,47.0,30.0,38.0,30205.16108611111,28432.85362777778,31981.294377777776,30195.219619444444,173.79632069209956,168.62044249668477,178.83314675355285,173.7677174260065,2.0
67.0,54.0,22.0,48.0,33485.494552777775,34047.74077222222,38460.13435,34175.202722222224,182.9904220246999,184.52029907905043,196.11255530944467,184.86536377110295,3.0
27.0,22.0,9.0,19.0,49087.796025,49915.657466666664,52984.05133333334,50380.36379166667,221.55765846614287,223.4181225117306,230.18264776766588,224.45570563402185,3.0
19.0,7.0,7.0,11.0,52220.68175,55287.17294722222,55260.91078611111,53910.63713611111,228.51844947399763,235.13224565597596,235.0763935109417,232.18664288910142,4.0
17.0,7.0,8.0,10.0,51841.524661111114,54862.05205277778,54416.84426388889,53836.61092222222,227.68733970317962,234.2264973327693,233.27418259183526,232.02717711988444,4.0
70.0,41.0,24.0,45.0,28892.48316388889,33429.69111111111,36145.7531,31967.80041111111,169.97789022072516,182.8378820461206,190.12036476926926,178.7954149610977,5.0
62.0,53.0,20.0,45.0,25668.517,26887.77252777778,33258.75468888889,28089.869680555556,160.21397254921308,163.9749143246545,182.36982943702307,167.60032720897522,6.0
91.0,53.0,25.0,56.0,25315.882069444444,26261.40677222222,29768.127166666665,25795.81585,159.1096542307991,162.05371570014128,172.5344231354041,160.61075882393433,7.0
123.0,79.0,23.0,75.0,13657.898641666667,15524.949816666667,22198.538216666668,15679.915466666667,116.86701263259306,124.59915656482859,148.9917387530821,125.21946919974812,7.0
89.0,56.0,16.0,54.0,27224.695830555556,20810.681872222223,20924.179127777777,20245.826327777777,164.99907827183628,144.25907899408696,144.6519240375937,142.28782916250347,7.0
74.0,33.0,33.0,47.0,20659.17438611111,26890.281155555556,26854.403625,24190.0512,143.73299685914543,163.9825635717272,163.87313271247365,155.5315119196107,9.0
113.0,63.0,46.0,74.0,13290.61465,18311.275238888888,20224.235941666666,16492.903152777777,115.28492811291508,135.31916064951366,142.21194022186276,128.42469837526494,9.0
70.0,52.0,21.0,48.0,26833.32163611111,29347.416547222223,35997.149394444445,29684.928925,163.80879596685617,171.31087690868384,189.72914745616828,172.29314822418215,10.0
77.0,39.0,22.0,46.0,22929.876252777776,28231.16668611111,31672.104725,26737.63012777778,151.42614124641022,168.02132806912078,177.96658316942538,163.51645216239794,10.0
128.0,74.0,33.0,78.0,13689.616194444445,18283.53346111111,23415.26646111111,17035.96316111111,117.00263327995847,135.2166168084053,153.0204772607611,130.5218876706551,10.0
48.0,55.0,12.0,38.0,25435.23853888889,24138.786669444446,32310.995244444446,26862.042219444444,159.48428931681292,155.3666201905816,179.75259454162114,163.8964374824677,11.0
28.0,35.0,21.0,28.0,35300.52462222222,33689.800980555556,36881.32790833333,35169.897394444444,187.88433841654344,183.5478166052529,192.04511945981167,187.53638952065927,11.0
37.0,55.0,14.0,36.0,32845.227430555555,29594.993433333333,37558.020747222225,32522.21629722222,181.2325231037618,172.031954686719,193.79891833346807,180.33917016894088,11.0
