@relation C:\Users\Mayumi\Dropbox\Faculdade\TCC\2014\Implementação\TCC\RGBcomFundo.arff
@attribute media_r real
@attribute media_g real
@attribute media_b real
@attribute media_cinza real
@attribute variancia_r real
@attribute variancia_g real
@attribute variancia_b real
@attribute variancia_cinza real
@attribute desvio_padrao_r real
@attribute desvio_padrao_g real
@attribute desvio_padrao_b real
@attribute desvio_padrao_cinza real
@attribute classes{1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0}
@data
250.0,223.0,146.0,206.0,78.75515,1494.5824527777777,14962.759816666667,3055.2996444444443,8.874409839532992,38.65982996312552,122.32236024810291,55.27476498769076,12.0
245.0,235.0,205.0,228.0,651.2515944444444,1341.3078972222222,5956.840338888889,1903.0685916666666,25.51963154993513,36.623870593128494,77.18056969787726,43.62417439524405,3.0
227.0,196.0,192.0,205.0,2440.91995,7218.118747222222,8079.598836111111,5112.315513888889,49.405667185050746,84.95951239986151,89.88658874443456,71.50045813761538,13.0
234.0,181.0,174.0,196.0,1105.3818555555556,9936.337572222223,11285.102502777778,5999.5051277777775,33.24728343121518,99.68117962896618,106.23136308443839,77.4564724718198,13.0
227.0,173.0,169.0,189.0,2286.5853916666665,10504.977716666666,11304.209838888888,6591.892863888889,47.81825374965784,102.49379355193497,106.32125769990161,81.19047274088807,13.0
229.0,230.0,184.0,214.0,1485.6126361111112,1470.6135388888888,9617.00703611111,3301.314161111111,38.543645859092145,38.34857935946114,98.06633997509599,57.45706363112468,14.0
232.0,235.0,198.0,222.0,1633.6414472222223,1355.731988888889,8755.09018888889,3146.956491666667,40.41833058430571,36.82026600785074,93.56863891758226,56.09774052193784,14.0
235.0,227.0,205.0,222.0,1845.0491,2695.8400694444445,7425.630941666666,3489.5953083333334,42.95403473481856,51.92147984644163,86.17210071517734,59.07279668623565,14.0
238.0,170.0,156.0,188.0,958.3780277777778,9519.180436111112,11870.102688888888,5444.281005555556,30.95768124032835,97.56628739534528,108.95000086686044,73.7853712164922,13.0
222.0,185.0,177.0,195.0,2931.119458333333,9611.195808333334,11448.957430555556,7032.87275,54.139813985027075,98.03670643352588,106.99980107717751,83.86222480950526,13.0
229.0,171.0,166.0,188.0,1711.8264027777777,12310.042977777777,12700.011108333334,7243.9850166666665,41.374223893358746,110.95063306614243,112.69432598109513,85.11160330217417,13.0
188.0,184.0,191.0,187.0,8030.708775,8873.721633333333,7313.531255555556,8069.38395,89.61422194607282,94.20043329695109,85.51918647622624,89.82974980483915,15.0
191.0,174.0,180.0,181.0,7865.658175,12199.665983333334,10580.266808333334,10133.104094444445,88.68854590644725,110.45209813911791,102.86042391674911,100.6633205017818,15.0
200.0,195.0,199.0,198.0,7636.986205555556,8988.817611111112,7909.309091666667,8176.615044444445,87.38985184536907,94.8093751224588,88.93429648716331,90.42463737524439,15.0
189.0,198.0,182.0,190.0,7132.553191666667,5403.712761111111,8773.770555555555,7032.197175,84.45444447550801,73.50995008236035,93.66840745713336,83.85819682654761,2.0
248.0,234.0,199.0,227.0,403.5725027777778,1377.8927722222222,7065.801683333333,1957.531711111111,20.089114036656216,37.11997807410751,84.0583231056469,44.244001978924906,3.0
247.0,242.0,228.0,239.0,560.3928027777778,1234.0696888888888,4595.300533333333,1723.8474583333334,23.672617150999123,35.129328044938305,67.78864605030354,41.519242025033805,3.0
244.0,232.0,233.0,237.0,1153.52925,4326.099197222222,3997.203975,2831.255925,33.96364600569262,65.77308870063973,63.22344482073086,53.20954731060959,4.0
241.0,231.0,232.0,235.0,1485.8965722222222,4266.0756972222225,4014.5407972222224,3103.923422222222,38.547328989467246,65.31520265008922,63.360404017195336,55.712865858993666,4.0
237.0,208.0,190.0,212.0,928.2988361111111,5237.376433333333,8328.4691,4016.542811111111,30.4679969166191,72.36972041768112,91.26044652531567,63.376200668004,5.0
211.0,203.0,169.0,194.0,3312.8831444444445,4355.145861111111,10848.45438888889,5699.961686111111,57.557650616094854,65.99352893360917,104.15591384500877,75.49809061235331,6.0
249.0,204.0,169.0,207.0,128.922125,3388.9435055555555,8946.824766666667,2815.2097388888888,11.354387918333599,58.214633087871945,94.58765652381217,53.05855010164609,7.0
237.0,189.0,127.0,185.0,435.2799416666667,3217.48615,11204.303016666667,3568.4058,20.86336362302749,56.72288911894386,105.8503803331224,59.73613479293751,7.0
253.0,190.0,115.0,186.0,27.45425277777778,2625.0803166666665,11047.096527777778,2693.036861111111,5.239680598832125,51.23553763421114,105.1051688918189,51.894478136995566,7.0
205.0,165.0,164.0,178.0,3371.509758333333,9453.048888888889,9507.051030555556,6960.641544444445,58.06470320541846,97.22679100376033,97.504107762471,83.43045933257497,9.0
222.0,172.0,155.0,183.0,1311.2918055555556,6288.771438888889,8193.720036111112,4524.801858333333,36.2117633588252,79.30177450025245,90.51916944002033,67.26664744383604,9.0
228.0,210.0,179.0,206.0,1698.3015583333333,4129.500891666667,10760.841661111112,4634.960247222222,41.21045447860692,64.26119273454755,103.73447672356144,68.0805423540546,10.0
220.0,182.0,165.0,189.0,2299.4179916666667,7685.583691666667,11119.401919444445,6204.317327777778,47.952246992885186,87.66746084874745,105.44857476250897,78.76748902801064,10.0
